three,four,five,NDX
277.75,272.25,270.15,271.45
281.55,276.25,270.95,272.05
289.45,278.25,271.45,272.65
289.85,279.65,272.15,273.45
287.45,281.25,272.85,274.25
285.55,282.15,273.25,275.15
283.45,283.05,274.35,276.05
283.65,283.35,275.45,276.65
283.35,283.15,276.75,277.55
283.65,282.65,276.95,277.85
281.75,281.65,276.95,277.75
280.55,280.25,276.05,277.05
279.55,279.25,275.25,276.75
278.75,279.15,274.55,276.65
277.95,277.75,273.75,276.25
276.95,276.55,273.55,275.25
273.95,275.55,273.15,274.85
272.65,274.45,272.15,273.95
272.95,273.45,271.75,273.95
271.05,273.45,271.35,273.65
271.15,273.45,269.45,272.95
271.85,273.55,267.75,272.65
271.35,273.45,266.35,271.85
271.15,273.45,265.85,271.35
276.65,273.95,265.95,271.45
278.45,274.95,272.35,272.85
279.95,275.95,275.55,274.15
281.45,276.95,276.25,275.35
282.95,278.45,277.65,276.25
283.55,279.45,278.75,276.95
284.35,280.45,279.85,278.15
284.55,281.95,280.55,279.15
284.45,282.35,280.55,279.65
283.55,281.95,281.05,280.25
282.25,281.05,280.65,279.65
281.35,279.35,279.85,278.85
280.85,277.15,279.45,278.45
280.55,277.05,279.25,278.05
279.65,277.25,279.05,277.15
279.05,276.55,277.95,276.85
276.15,275.95,276.55,276.35
273.45,276.05,276.45,273.55
272.45,275.15,273.85,272.45
271.45,274.85,272.15,271.45
271.05,274.85,269.95,270.25
271.55,274.85,269.35,272.45
270.85,274.25,269.15,270.05
271.05,274.85,270.55,269.75
274.45,275.75,271.75,268.75
276.25,277.95,274.05,273.95
277.75,280.05,276.65,275.25
279.85,282.25,278.55,276.65
280.75,283.65,279.95,277.95
282.85,285.05,280.45,278.65
284.45,285.95,281.15,280.65
284.55,286.75,282.15,280.75
283.85,286.75,282.55,281.55
283.55,286.55,282.85,280.95
282.85,285.25,282.65,280.85
282.85,284.95,281.85,279.75
282.75,284.75,281.55,279.05
282.95,284.05,280.25,278.75
282.75,282.15,279.55,278.35
282.45,281.45,279.15,277.65
281.75,281.15,278.25,277.35
279.45,280.55,277.65,277.15
277.95,280.55,277.65,276.85
278.45,280.45,274.65,273.15
279.55,280.25,272.95,275.15
277.45,279.95,272.45,274.65
277.85,279.45,272.25,272.95
277.25,278.85,270.35,271.25
276.65,278.85,271.35,271.45
276.25,279.25,273.25,273.35
276.55,279.85,276.45,275.05
276.85,280.55,277.75,276.25
277.55,282.05,279.45,277.75
277.95,282.75,281.45,279.35
278.45,283.45,283.65,280.55
278.75,284.15,284.95,281.55
279.55,283.95,285.35,281.45
279.75,284.05,284.85,281.45
279.55,282.55,284.85,281.85
278.95,279.95,283.95,281.05
276.45,278.25,283.05,278.15
276.05,281.25,281.75,276.75
276.75,280.65,279.25,275.45
275.05,280.15,279.15,274.85
276.95,279.05,278.15,274.55
276.55,275.15,276.35,272.95
275.85,273.15,273.95,279.35
275.95,275.05,273.05,279.05
275.55,272.05,271.85,278.35
273.45,273.25,270.95,277.95
272.25,271.45,270.25,277.25
273.95,271.05,269.85,276.55
276.85,276.55,269.95,276.45
277.95,279.85,274.45,277.05
278.65,281.65,277.95,278.45
279.55,283.55,279.85,279.65
279.75,284.15,281.55,280.85
280.75,284.75,282.75,282.25
281.65,284.75,283.75,283.05
282.65,286.25,284.15,283.85
282.85,285.55,285.05,284.75
282.25,285.25,285.95,285.05
280.25,284.55,285.15,285.25
279.25,284.35,284.15,284.45
278.65,285.65,282.65,282.75
278.15,285.05,280.75,282.45
277.95,284.15,277.75,282.05
277.15,283.35,277.85,281.55
276.05,282.85,275.85,281.15
275.65,282.35,274.85,279.95
274.75,282.15,274.95,279.65
274.45,281.65,274.25,278.85
273.05,281.05,274.65,275.25
272.65,279.75,274.35,274.05
272.35,277.65,273.85,272.35
272.35,274.95,273.65,272.05
272.75,281.05,273.55,271.75
273.65,283.65,273.85,273.95
275.35,285.25,274.35,276.95
277.05,285.65,275.15,279.15
278.65,286.75,276.15,281.85
280.35,288.15,277.85,284.55
281.85,288.95,279.75,286.75
283.05,289.65,281.65,287.85
282.45,289.55,283.05,288.85
281.75,288.95,283.85,289.45
280.75,287.95,283.85,288.25
279.95,287.15,282.25,287.45
279.35,286.45,281.15,285.85
279.05,285.95,280.15,286.15
276.65,284.95,278.15,286.45
274.55,283.55,276.65,285.85
274.75,280.45,275.55,285.45
275.45,278.15,274.75,284.95
275.55,278.95,277.25,284.55
275.15,277.45,276.45,283.85
274.65,276.85,274.45,283.35
274.15,276.45,273.95,282.35
273.85,275.05,272.75,279.95
273.75,276.25,273.25,280.45
275.55,279.45,272.35,279.45
277.35,281.15,276.55,280.35
279.55,282.95,281.95,281.45
281.25,285.25,285.05,282.35
282.15,288.55,286.15,282.35
283.45,291.35,287.75,283.25
285.15,293.65,288.55,283.75
285.35,294.55,289.35,284.35
285.45,295.25,289.55,285.15
284.65,294.75,289.55,285.75
283.75,292.65,289.55,285.75
282.25,287.95,288.85,284.75
280.15,286.05,287.65,283.75
279.45,283.75,287.75,281.35
280.25,286.85,286.95,279.85
280.45,286.75,285.95,278.65
280.45,284.25,283.95,278.25
279.65,283.55,283.85,280.55
279.05,281.55,283.35,281.55
279.05,279.45,282.05,279.05
278.75,278.05,280.65,276.95
277.05,277.35,279.35,275.95
278.45,281.85,280.55,274.55
277.95,279.65,279.85,274.45
279.15,281.35,279.75,274.45
281.55,284.45,280.55,277.15
283.85,286.55,281.15,279.15
285.75,287.75,281.85,281.45
286.65,288.45,282.95,283.75
287.15,289.35,284.35,285.65
287.25,290.55,284.75,287.35
287.65,290.75,285.95,288.35
286.75,290.45,286.45,289.45
286.05,289.65,286.65,289.35
285.55,288.15,286.55,289.05
285.15,286.95,285.25,288.55
283.95,286.25,283.85,287.65
283.15,284.95,283.25,285.55
282.35,284.25,282.25,282.85
281.45,283.45,282.05,282.65
280.95,281.95,281.15,285.15
280.35,280.15,280.75,284.45
279.65,279.85,282.75,283.95
278.75,279.95,282.25,280.75
279.95,279.15,281.25,279.85
279.05,278.05,279.95,278.95
278.45,277.85,278.45,279.55
277.35,278.95,278.65,277.45
278.75,280.55,278.55,276.75
280.75,283.35,280.15,278.95
282.45,287.85,282.75,281.55
283.75,289.75,285.25,283.35
286.05,291.55,286.45,285.35
287.55,291.25,287.95,286.85
288.25,293.25,287.85,287.85
289.05,293.85,288.85,289.25
288.65,293.55,289.05,289.95
288.45,292.35,288.25,290.15
287.25,290.95,287.55,289.95
285.15,289.15,286.75,289.15
282.45,289.35,285.65,286.25
284.65,287.85,284.45,284.55
284.05,287.75,283.05,283.35
283.15,288.15,281.85,282.25
281.85,287.75,281.75,281.65
282.15,286.45,281.25,280.65
281.95,284.95,281.35,280.45
284.05,282.65,280.95,279.85
284.55,282.55,280.65,279.75
283.65,282.55,280.15,278.85
281.75,281.85,278.65,277.75
280.15,279.95,278.35,278.55
279.35,285.15,278.45,280.85
279.65,287.05,280.25,282.55
281.85,289.05,281.55,285.05
282.55,290.25,282.45,287.75
283.65,288.25,283.35,290.75
284.85,288.25,284.15,292.35
285.05,287.65,285.55,293.45
285.15,286.95,285.55,294.15
284.65,286.45,286.75,294.75
283.85,286.15,286.05,294.35
282.85,285.35,285.95,293.75
280.35,284.55,285.45,292.55
278.55,283.55,284.55,289.95
277.55,283.15,282.45,289.35
276.85,282.55,280.05,288.75
276.05,282.35,279.85,288.55
275.75,282.15,278.45,287.35
275.65,281.35,277.75,285.95
275.15,280.65,277.15,284.65
274.35,279.95,279.15,282.85
273.95,278.65,277.25,281.45
273.25,277.25,277.55,282.65
273.25,277.95,276.85,282.75
273.55,278.15,275.45,282.05
274.75,279.45,276.05,281.35
276.15,280.85,279.85,282.05
275.75,281.35,283.05,283.55
276.15,281.75,285.15,284.55
276.35,282.85,286.25,285.55
276.65,283.45,288.65,286.05
277.15,284.45,290.55,286.45
277.95,286.25,291.05,287.65
277.55,286.85,291.75,287.55
276.65,285.45,291.85,287.35
275.95,284.05,291.05,287.15
275.45,284.15,290.35,286.75
274.85,285.05,289.35,286.05
274.05,284.25,289.35,284.55
274.05,283.35,288.85,283.35
273.55,282.85,287.55,282.95
273.05,282.35,284.35,282.35
272.85,281.85,284.65,281.75
271.95,280.25,281.45,280.05
271.95,280.25,280.35,280.25
272.05,279.75,279.85,278.65
271.05,280.15,279.15,277.95
268.85,279.95,285.15,277.15
267.45,279.65,284.55,276.85
270.85,282.65,284.35,276.15
273.05,284.35,285.85,279.65
275.05,285.95,287.85,282.15
275.75,286.75,289.05,284.65
276.25,287.85,290.05,287.05
276.95,289.15,290.65,288.95
277.85,290.85,291.55,290.15
278.55,291.35,291.85,290.85
278.55,291.95,292.35,291.15
278.55,292.05,292.35,291.55
277.55,290.35,291.65,291.45
276.95,286.55,290.55,290.25
276.55,283.95,290.05,288.95
276.25,281.75,288.65,288.25
275.95,284.75,288.95,287.55
275.95,284.05,287.35,286.85
275.35,280.95,285.65,285.35
275.05,281.35,285.15,283.35
274.85,279.45,288.25,281.45
274.15,277.75,287.75,279.65
272.35,277.35,286.85,278.45
271.45,275.95,286.35,277.85
271.45,274.95,285.45,276.75
272.55,275.05,284.45,275.75
273.35,282.75,284.15,276.35
274.55,288.25,285.65,280.75
275.85,289.85,286.65,283.15
276.85,291.05,287.35,286.05
278.15,292.75,288.45,287.55
279.35,293.55,289.35,289.95
280.05,293.45,290.05,291.05
280.65,294.15,290.95,291.55
280.85,293.85,291.45,291.45
280.85,293.55,291.95,291.75
280.05,292.35,291.45,291.55
279.25,291.15,290.75,290.85
278.65,290.75,289.65,289.95
278.35,288.65,288.55,288.65
277.95,288.85,286.65,286.25
277.85,284.15,284.65,285.95
277.25,282.85,283.35,285.55
276.55,281.05,286.85,285.35
274.85,279.55,286.85,285.25
274.25,278.85,285.95,284.15
275.55,277.75,284.55,283.95
277.55,277.15,282.95,284.05
277.15,276.85,280.55,284.15
275.85,276.55,279.35,282.65
278.95,281.25,278.85,283.45
280.75,287.75,279.35,285.25
281.75,291.65,279.95,286.05
281.25,293.95,281.15,286.75
281.85,294.55,282.15,287.15
282.35,295.65,283.65,287.65
282.95,296.25,284.95,287.85
283.15,296.75,285.95,287.95
282.75,295.85,286.85,287.75
282.45,294.75,286.75,287.75
282.05,293.15,286.35,287.25
281.25,288.75,285.45,286.85
280.95,284.75,284.25,286.35
280.25,287.35,283.15,285.85
278.75,287.25,282.05,285.25
277.45,286.55,281.35,283.35
276.25,284.25,280.45,282.35
275.85,283.15,279.05,280.95
275.35,281.35,276.95,280.45
275.15,279.65,275.45,278.65
274.65,279.05,274.35,278.05
273.95,278.15,274.45,278.05
273.95,278.65,273.15,279.45
274.15,279.95,272.85,279.15
274.95,282.15,273.55,279.55
276.55,284.85,278.65,281.35
277.65,287.35,281.75,282.25
277.35,288.65,285.35,283.15
278.15,290.05,287.75,284.25
278.25,291.35,289.05,284.95
280.55,291.75,289.75,285.85
283.45,292.05,290.25,286.35
283.75,292.05,291.05,286.45
285.05,291.65,291.05,287.05
282.15,291.15,290.85,286.75
280.25,289.15,289.75,285.45
279.15,289.55,288.65,283.95
278.35,287.65,287.75,282.75
277.75,287.75,287.05,280.75
277.05,285.85,286.85,281.25
276.65,282.85,284.95,281.45
275.85,283.25,281.15,280.85
275.15,282.25,280.55,279.25
275.15,282.05,279.05,278.65
274.75,281.45,278.05,278.85
274.65,280.85,277.35,277.85
274.15,280.65,275.75,275.15
274.25,280.75,275.65,273.95
275.95,282.45,275.35,275.25
277.45,284.05,278.95,280.85
278.75,285.75,280.35,282.65
279.05,287.75,281.75,282.95
280.65,290.05,283.35,283.45
281.95,291.55,284.85,284.55
282.85,292.35,286.45,285.15
283.55,293.45,287.35,286.25
283.75,293.35,288.25,286.85
282.65,292.75,288.55,286.95
281.05,292.05,288.25,286.75
280.05,290.65,287.35,285.55
279.45,288.05,286.15,283.05
279.05,285.65,285.15,282.75
278.35,284.35,282.75,283.85
275.75,283.45,283.85,282.95
274.05,284.75,282.65,283.05
273.45,283.95,281.15,281.35
272.85,283.15,279.95,280.55
273.65,283.15,278.35,279.75
273.45,282.45,277.95,278.15
272.55,282.25,276.65,275.75
272.05,282.65,275.45,274.45
272.25,282.65,274.35,273.65
273.95,284.45,275.25,275.05
275.85,287.15,279.25,280.05
277.45,289.75,281.55,281.55
279.65,291.95,283.05,283.55
280.95,293.25,284.75,284.85
282.35,293.85,286.55,285.45
283.15,295.45,288.35,285.85
283.75,295.25,289.95,286.05
283.95,295.25,290.65,286.95
283.45,294.65,291.05,287.25
282.95,293.55,290.65,287.35
282.35,291.65,290.05,286.45
282.05,290.75,289.15,283.85
281.65,289.85,288.65,284.95
281.05,287.75,288.45,283.25
278.55,285.45,287.95,284.15
275.85,284.65,287.45,282.75
274.85,283.45,287.25,281.35
274.25,284.05,286.45,282.95
273.35,283.25,284.25,282.95
272.85,281.85,281.15,282.45
272.75,281.75,280.45,282.05
272.95,282.95,279.45,282.05
274.25,283.85,279.25,281.75
276.35,285.45,279.25,282.45
277.95,287.15,282.35,283.85
279.75,289.15,285.55,285.35
281.35,291.25,287.25,286.55
282.85,293.15,289.25,287.95
283.85,294.55,291.05,288.65
284.95,295.45,291.85,290.05
285.45,296.35,293.25,290.95
285.95,296.15,293.05,292.15
286.05,295.65,293.25,292.55
285.65,294.75,292.75,292.65
284.95,292.45,291.75,292.15
284.55,290.15,290.85,289.05
283.45,288.25,290.15,290.05
280.85,287.05,289.35,289.25
279.35,286.25,288.65,288.35
280.25,286.65,287.95,288.05
281.15,286.35,287.55,287.65
280.45,286.05,287.15,286.05
279.25,285.45,286.35,285.75
277.45,285.25,285.75,285.45
276.05,284.45,284.65,284.85
275.95,285.15,282.15,284.35
277.35,285.65,279.95,285.25
278.45,286.65,279.95,284.75
280.75,288.05,284.15,287.55
283.75,288.55,285.55,289.05
287.65,288.55,287.05,290.75
290.35,288.65,288.05,292.35
291.75,288.25,289.45,293.45
292.65,287.95,290.85,293.65
292.05,287.85,292.15,294.35
291.35,287.75,292.85,294.85
290.35,287.75,292.55,295.05
287.65,287.65,292.35,294.45
285.85,287.05,292.05,293.35
284.75,286.75,291.45,292.25
284.05,286.25,291.05,291.45
283.55,285.15,290.75,290.75
282.85,285.55,289.95,290.25
281.25,285.85,289.25,289.75
279.95,285.25,288.65,289.15
279.05,285.65,288.55,288.05
278.45,285.95,288.05,286.15
277.65,286.05,287.45,286.35
277.45,285.55,286.85,283.15
277.45,284.95,285.25,280.85
277.75,284.65,284.25,281.05
278.55,285.55,289.25,281.95
279.95,286.55,289.95,283.45
280.55,288.65,290.65,286.55
281.95,290.95,291.15,288.85
282.65,291.95,291.85,290.25
283.85,294.25,292.55,291.55
